payment_key,payment_id,payment_method,payment_status,payment_provider
1,PAY-00001,QRIS,Paid,Mastercard
2,PAY-00002,Credit Card,Paid,OVO
3,PAY-00003,Debit Card,Paid,OVO
4,PAY-00004,E-Wallet,Refunded,Visa
5,PAY-00005,E-Wallet,Paid,Visa
6,PAY-00006,E-Wallet,Paid,ShopeePay
7,PAY-00007,Bank Transfer,Paid,BCA
8,PAY-00008,QRIS,Failed,BRI
9,PAY-00009,Credit Card,Paid,BNI
10,PAY-00010,Bank Transfer,Paid,Erajaya POS
11,PAY-00011,Bank Transfer,Paid,Visa
12,PAY-00012,QRIS,Paid,BCA
13,PAY-00013,QRIS,Paid,ShopeePay
14,PAY-00014,Credit Card,Paid,Erajaya POS
15,PAY-00015,Bank Transfer,Paid,Mandiri
16,PAY-00016,Debit Card,Paid,OVO
17,PAY-00017,Bank Transfer,Paid,ShopeePay
18,PAY-00018,QRIS,Paid,Mandiri
19,PAY-00019,E-Wallet,Paid,ShopeePay
20,PAY-00020,Credit Card,Paid,ShopeePay
21,PAY-00021,E-Wallet,Paid,ShopeePay
22,PAY-00022,Credit Card,Paid,Visa
23,PAY-00023,Credit Card,Paid,ShopeePay
24,PAY-00024,E-Wallet,Pending,Mastercard
25,PAY-00025,Cash,Failed,GoPay
26,PAY-00026,Bank Transfer,Paid,GoPay
27,PAY-00027,Debit Card,Paid,Erajaya POS
28,PAY-00028,QRIS,Paid,ShopeePay
29,PAY-00029,Credit Card,Paid,Erajaya POS
30,PAY-00030,Debit Card,Paid,ShopeePay
31,PAY-00031,QRIS,Paid,BNI
32,PAY-00032,E-Wallet,Paid,BRI
33,PAY-00033,Debit Card,Paid,Mandiri
34,PAY-00034,E-Wallet,Paid,OVO
35,PAY-00035,Credit Card,Paid,BRI
36,PAY-00036,Credit Card,Paid,GoPay
37,PAY-00037,E-Wallet,Paid,BCA
38,PAY-00038,Credit Card,Paid,Visa
39,PAY-00039,Cash,Paid,Erajaya POS
40,PAY-00040,Cash,Paid,GoPay
41,PAY-00041,Credit Card,Paid,Visa
42,PAY-00042,E-Wallet,Paid,Mastercard
43,PAY-00043,E-Wallet,Paid,Mandiri
44,PAY-00044,Credit Card,Paid,BNI
45,PAY-00045,Credit Card,Paid,BNI
46,PAY-00046,Bank Transfer,Paid,Erajaya POS
47,PAY-00047,QRIS,Paid,Mandiri
48,PAY-00048,Credit Card,Paid,BRI
49,PAY-00049,Bank Transfer,Paid,Erajaya POS
50,PAY-00050,Credit Card,Paid,ShopeePay
51,PAY-00051,Credit Card,Paid,BNI
52,PAY-00052,Credit Card,Failed,BCA
53,PAY-00053,Credit Card,Paid,ShopeePay
54,PAY-00054,Credit Card,Paid,Mandiri
55,PAY-00055,Debit Card,Failed,GoPay
56,PAY-00056,E-Wallet,Paid,Mastercard
57,PAY-00057,Debit Card,Paid,ShopeePay
58,PAY-00058,E-Wallet,Paid,GoPay
59,PAY-00059,Debit Card,Paid,GoPay
60,PAY-00060,Credit Card,Paid,BNI
61,PAY-00061,Debit Card,Paid,Mandiri
62,PAY-00062,Bank Transfer,Paid,GoPay
63,PAY-00063,Cash,Paid,ShopeePay
64,PAY-00064,Debit Card,Paid,BCA
65,PAY-00065,Debit Card,Paid,Mandiri
66,PAY-00066,Bank Transfer,Paid,BRI
67,PAY-00067,Debit Card,Paid,OVO
68,PAY-00068,Debit Card,Paid,Mandiri
69,PAY-00069,Bank Transfer,Paid,ShopeePay
70,PAY-00070,Cash,Paid,OVO
71,PAY-00071,Credit Card,Refunded,BRI
72,PAY-00072,E-Wallet,Paid,GoPay
73,PAY-00073,Debit Card,Paid,BNI
74,PAY-00074,Credit Card,Paid,Mastercard
75,PAY-00075,Credit Card,Paid,ShopeePay
76,PAY-00076,QRIS,Paid,ShopeePay
77,PAY-00077,Debit Card,Paid,Erajaya POS
78,PAY-00078,Debit Card,Paid,Mandiri
79,PAY-00079,Cash,Paid,Erajaya POS
80,PAY-00080,E-Wallet,Paid,OVO
81,PAY-00081,E-Wallet,Paid,Erajaya POS
82,PAY-00082,E-Wallet,Paid,Mandiri
83,PAY-00083,QRIS,Paid,ShopeePay
84,PAY-00084,Bank Transfer,Paid,GoPay
85,PAY-00085,QRIS,Paid,ShopeePay
86,PAY-00086,QRIS,Paid,Visa
87,PAY-00087,Debit Card,Paid,Mastercard
