inventory_key,time_key,product_key,store_key,stock_quantity,reorder_level,stock_status
1,20250531,1,1,38,22,Available
2,20250531,2,1,88,6,Available
3,20250531,3,1,75,18,Available
4,20250531,4,1,7,11,Low Stock
5,20250531,5,1,3,16,Low Stock
6,20250531,6,1,59,8,Available
7,20250531,7,1,82,20,Available
8,20250531,8,1,111,23,Available
9,20250531,9,1,43,9,Available
10,20250531,10,1,44,17,Available
11,20250531,11,1,83,23,Available
12,20250531,12,1,34,19,Available
13,20250531,13,1,44,5,Available
14,20250531,14,1,73,5,Available
15,20250531,15,1,39,13,Available
16,20250531,16,1,69,21,Available
17,20250531,17,1,92,19,Available
18,20250531,18,1,94,8,Available
19,20250531,19,1,118,20,Available
20,20250531,20,1,95,18,Available
21,20250531,21,1,83,17,Available
22,20250531,22,1,50,21,Available
23,20250531,23,1,22,7,Available
24,20250531,24,1,5,12,Low Stock
25,20250531,25,1,9,24,Low Stock
26,20250531,26,1,51,14,Available
27,20250531,27,1,2,13,Low Stock
28,20250531,28,1,47,9,Available
29,20250531,29,1,80,9,Available
30,20250531,30,1,48,6,Available
31,20250531,31,1,95,25,Available
32,20250531,32,1,46,6,Available
33,20250531,33,1,7,24,Low Stock
34,20250531,34,1,6,13,Low Stock
35,20250531,35,1,40,19,Available
36,20250531,36,1,45,5,Available
37,20250531,37,1,19,24,Low Stock
38,20250531,38,1,88,5,Available
39,20250531,39,1,83,22,Available
40,20250531,40,1,11,20,Low Stock
41,20250531,41,1,109,23,Available
42,20250531,42,1,46,24,Available
43,20250531,43,1,95,17,Available
44,20250531,44,1,118,20,Available
45,20250531,45,1,28,17,Available
46,20250531,46,1,28,20,Available
47,20250531,47,1,62,10,Available
48,20250531,48,1,29,21,Available
49,20250531,49,1,109,12,Available
50,20250531,50,1,26,11,Available
51,20250531,51,1,106,11,Available
52,20250531,52,1,96,9,Available
53,20250531,53,1,13,21,Low Stock
54,20250531,54,1,63,13,Available
55,20250531,55,1,75,13,Available
56,20250531,56,1,65,15,Available
57,20250531,57,1,84,12,Available
58,20250531,58,1,1,14,Low Stock
59,20250531,59,1,12,19,Low Stock
60,20250531,60,1,26,22,Available
61,20250531,61,1,88,10,Available
62,20250531,62,1,33,13,Available
63,20250531,63,1,25,5,Available
64,20250531,64,1,65,16,Available
65,20250531,65,1,59,14,Available
66,20250531,66,1,13,18,Low Stock
67,20250531,67,1,28,7,Available
68,20250531,68,1,111,11,Available
69,20250531,69,1,10,9,Available
70,20250531,70,1,89,8,Available
71,20250531,71,1,109,21,Available
72,20250531,72,1,85,19,Available
73,20250531,73,1,5,7,Low Stock
74,20250531,74,1,114,19,Available
75,20250531,75,1,42,12,Available
76,20250531,76,1,9,18,Low Stock
