sales_key,transaction_id,detail_id,time_key,customer_key,product_key,store_key,channel_key,payment_key,promotion_key,quantity_sold,unit_price,gross_sales,discount_amount,net_sales,cost_amount,net_profit
1,TRX-00001,DTL-000001,20240101,54,66,5,2,1,16,1,5499000,5499000.0,274950.0,5224050.0,3959000.0,1265050.0
2,TRX-00001,DTL-000002,20240101,54,36,5,2,1,12,1,3999000,3999000.0,399900.0,3599100.0,2879000.0,720100.0
3,TRX-00001,DTL-000003,20240101,54,98,5,2,1,21,1,1695000,1695000.0,0.0,1695000.0,1220000.0,475000.0
4,TRX-00002,DTL-000004,20240321,171,93,21,2,2,21,1,699000,699000.0,0.0,699000.0,503000.0,196000.0
5,TRX-00002,DTL-000005,20240321,171,42,21,2,2,3,1,3499000,3499000.0,279920.0,3219080.0,2519000.0,700080.0
6,TRX-00002,DTL-000006,20240321,171,99,21,2,2,21,1,3079000,3079000.0,0.0,3079000.0,2217000.0,862000.0
7,TRX-00003,DTL-000007,20241220,574,13,7,1,3,21,2,6499000,12998000.0,0.0,12998000.0,9358000.0,3640000.0
8,TRX-00003,DTL-000008,20241220,574,32,7,1,3,21,1,28499000,28499000.0,0.0,28499000.0,20519000.0,7980000.0
9,TRX-00004,DTL-000009,20250112,622,41,9,2,4,8,1,6499000,6499000.0,324950.0,6174050.0,4679000.0,1495050.0
10,TRX-00004,DTL-000010,20250112,622,37,9,2,4,18,1,2999000,2999000.0,449850.0,2549150.0,2159000.0,390150.0
11,TRX-00004,DTL-000011,20250112,622,45,9,2,4,21,2,3999000,7998000.0,0.0,7998000.0,5758000.0,2240000.0
12,TRX-00005,DTL-000012,20250429,559,44,4,2,5,5,2,4499000,8998000.0,719840.0,8278160.0,6478000.0,1800160.0
13,TRX-00005,DTL-000013,20250429,559,77,4,2,5,13,2,1999000,3998000.0,399800.0,3598200.0,2878000.0,720200.0
14,TRX-00006,DTL-000014,20240304,285,72,7,3,6,21,1,6999000,6999000.0,0.0,6999000.0,5039000.0,1960000.0
15,TRX-00006,DTL-000015,20240304,285,19,7,3,6,5,2,14999000,29998000.0,2399840.0,27598160.0,21598000.0,6000160.0
16,TRX-00006,DTL-000016,20240304,285,40,7,3,6,21,2,15999000,31998000.0,0.0,31998000.0,23038000.0,8960000.0
17,TRX-00007,DTL-000017,20240303,514,92,5,2,7,21,1,649000,649000.0,0.0,649000.0,467000.0,182000.0
18,TRX-00008,DTL-000018,20241225,857,1,23,2,8,21,1,20499000,20499000.0,0.0,20499000.0,14759000.0,5740000.0
19,TRX-00008,DTL-000019,20241225,857,22,23,2,8,10,1,499000,499000.0,24950.0,474050.0,359000.0,115050.0
20,TRX-00009,DTL-000020,20240810,899,57,24,3,9,21,2,5999000,11998000.0,0.0,11998000.0,8638000.0,3360000.0
21,TRX-00009,DTL-000021,20240810,899,98,24,3,9,4,2,1695000,3390000.0,406800.0,2983200.0,2440000.0,543200.0
22,TRX-00009,DTL-000022,20240810,899,2,24,3,9,21,1,23499000,23499000.0,0.0,23499000.0,16919000.0,6580000.0
23,TRX-00009,DTL-000023,20240810,899,36,24,3,9,18,1,3999000,3999000.0,599850.0,3399150.0,2879000.0,520150.0
24,TRX-00010,DTL-000024,20240723,451,62,9,2,10,21,1,5999000,5999000.0,0.0,5999000.0,4319000.0,1680000.0
25,TRX-00010,DTL-000025,20240723,451,36,9,2,10,21,1,3999000,3999000.0,0.0,3999000.0,2879000.0,1120000.0
26,TRX-00011,DTL-000026,20240803,831,44,22,2,11,21,3,4499000,13497000.0,0.0,13497000.0,9717000.0,3780000.0
27,TRX-00011,DTL-000027,20240803,831,48,22,2,11,16,1,16999000,16999000.0,849950.0,16149050.0,12239000.0,3910050.0
28,TRX-00012,DTL-000028,20240428,487,32,5,2,12,21,1,28499000,28499000.0,0.0,28499000.0,20519000.0,7980000.0
29,TRX-00012,DTL-000029,20240428,487,21,5,2,12,3,2,2499000,4998000.0,399840.0,4598160.0,3598000.0,1000160.0
