inventory_id,snapshot_date,store_id,product_id,stock_quantity,reorder_level,stock_status
INV-STORE-001-PROD-0001,2025-05-31,STORE-001,PROD-0001,38,22,Available
INV-STORE-001-PROD-0002,2025-05-31,STORE-001,PROD-0002,88,6,Available
INV-STORE-001-PROD-0003,2025-05-31,STORE-001,PROD-0003,75,18,Available
INV-STORE-001-PROD-0004,2025-05-31,STORE-001,PROD-0004,7,11,Low Stock
INV-STORE-001-PROD-0005,2025-05-31,STORE-001,PROD-0005,3,16,Low Stock
INV-STORE-001-PROD-0006,2025-05-31,STORE-001,PROD-0006,59,8,Available
INV-STORE-001-PROD-0007,2025-05-31,STORE-001,PROD-0007,82,20,Available
INV-STORE-001-PROD-0008,2025-05-31,STORE-001,PROD-0008,111,23,Available
INV-STORE-001-PROD-0009,2025-05-31,STORE-001,PROD-0009,43,9,Available
INV-STORE-001-PROD-0010,2025-05-31,STORE-001,PROD-0010,44,17,Available
INV-STORE-001-PROD-0011,2025-05-31,STORE-001,PROD-0011,83,23,Available
INV-STORE-001-PROD-0012,2025-05-31,STORE-001,PROD-0012,34,19,Available
INV-STORE-001-PROD-0013,2025-05-31,STORE-001,PROD-0013,44,5,Available
INV-STORE-001-PROD-0014,2025-05-31,STORE-001,PROD-0014,73,5,Available
INV-STORE-001-PROD-0015,2025-05-31,STORE-001,PROD-0015,39,13,Available
INV-STORE-001-PROD-0016,2025-05-31,STORE-001,PROD-0016,69,21,Available
INV-STORE-001-PROD-0017,2025-05-31,STORE-001,PROD-0017,92,19,Available
INV-STORE-001-PROD-0018,2025-05-31,STORE-001,PROD-0018,94,8,Available
INV-STORE-001-PROD-0019,2025-05-31,STORE-001,PROD-0019,118,20,Available
INV-STORE-001-PROD-0020,2025-05-31,STORE-001,PROD-0020,95,18,Available
INV-STORE-001-PROD-0021,2025-05-31,STORE-001,PROD-0021,83,17,Available
INV-STORE-001-PROD-0022,2025-05-31,STORE-001,PROD-0022,50,21,Available
INV-STORE-001-PROD-0023,2025-05-31,STORE-001,PROD-0023,22,7,Available
INV-STORE-001-PROD-0024,2025-05-31,STORE-001,PROD-0024,5,12,Low Stock
INV-STORE-001-PROD-0025,2025-05-31,STORE-001,PROD-0025,9,24,Low Stock
INV-STORE-001-PROD-0026,2025-05-31,STORE-001,PROD-0026,51,14,Available
INV-STORE-001-PROD-0027,2025-05-31,STORE-001,PROD-0027,2,13,Low Stock
INV-STORE-001-PROD-0028,2025-05-31,STORE-001,PROD-0028,47,9,Available
INV-STORE-001-PROD-0029,2025-05-31,STORE-001,PROD-0029,80,9,Available
INV-STORE-001-PROD-0030,2025-05-31,STORE-001,PROD-0030,48,6,Available
INV-STORE-001-PROD-0031,2025-05-31,STORE-001,PROD-0031,95,25,Available
INV-STORE-001-PROD-0032,2025-05-31,STORE-001,PROD-0032,46,6,Available
INV-STORE-001-PROD-0033,2025-05-31,STORE-001,PROD-0033,7,24,Low Stock
INV-STORE-001-PROD-0034,2025-05-31,STORE-001,PROD-0034,6,13,Low Stock
INV-STORE-001-PROD-0035,2025-05-31,STORE-001,PROD-0035,40,19,Available
INV-STORE-001-PROD-0036,2025-05-31,STORE-001,PROD-0036,45,5,Available
INV-STORE-001-PROD-0037,2025-05-31,STORE-001,PROD-0037,19,24,Low Stock
INV-STORE-001-PROD-0038,2025-05-31,STORE-001,PROD-0038,88,5,Available
INV-STORE-001-PROD-0039,2025-05-31,STORE-001,PROD-0039,83,22,Available
INV-STORE-001-PROD-0040,2025-05-31,STORE-001,PROD-0040,11,20,Low Stock
INV-STORE-001-PROD-0041,2025-05-31,STORE-001,PROD-0041,109,23,Available
INV-STORE-001-PROD-0042,2025-05-31,STORE-001,PROD-0042,46,24,Available
INV-STORE-001-PROD-0043,2025-05-31,STORE-001,PROD-0043,95,17,Available
INV-STORE-001-PROD-0044,2025-05-31,STORE-001,PROD-0044,118,20,Available
INV-STORE-001-PROD-0045,2025-05-31,STORE-001,PROD-0045,28,17,Available
INV-STORE-001-PROD-0046,2025-05-31,STORE-001,PROD-0046,28,20,Available
INV-STORE-001-PROD-0047,2025-05-31,STORE-001,PROD-0047,62,10,Available
INV-STORE-001-PROD-0048,2025-05-31,STORE-001,PROD-0048,29,21,Available
INV-STORE-001-PROD-0049,2025-05-31,STORE-001,PROD-0049,109,12,Available
