payment_id,payment_method,payment_status,payment_provider,paid_amount
PAY-00001,QRIS,Paid,Mastercard,10518150.0
PAY-00002,Credit Card,Paid,OVO,6997080.0
PAY-00003,Debit Card,Paid,OVO,41497000.0
PAY-00004,E-Wallet,Refunded,Visa,16721200.0
PAY-00005,E-Wallet,Paid,Visa,11876360.0
PAY-00006,E-Wallet,Paid,ShopeePay,66595160.0
PAY-00007,Bank Transfer,Paid,BCA,649000.0
PAY-00008,QRIS,Failed,BRI,20973050.0
PAY-00009,Credit Card,Paid,BNI,41879350.0
PAY-00010,Bank Transfer,Paid,Erajaya POS,9998000.0
PAY-00011,Bank Transfer,Paid,Visa,29646050.0
PAY-00012,QRIS,Paid,BCA,33097160.0
PAY-00013,QRIS,Paid,ShopeePay,22798000.0
PAY-00014,Credit Card,Paid,Erajaya POS,58996000.0
PAY-00015,Bank Transfer,Paid,Mandiri,3799050.0
PAY-00016,Debit Card,Paid,OVO,25012160.0
PAY-00017,Bank Transfer,Paid,ShopeePay,24531150.0
PAY-00018,QRIS,Paid,Mandiri,17678080.0
PAY-00019,E-Wallet,Paid,ShopeePay,20078120.0
PAY-00020,Credit Card,Paid,ShopeePay,13924240.0
PAY-00021,E-Wallet,Paid,ShopeePay,52175360.0
PAY-00022,Credit Card,Paid,Visa,4797000.0
PAY-00023,Credit Card,Paid,ShopeePay,5675160.0
PAY-00024,E-Wallet,Pending,Mastercard,17778000.0
PAY-00025,Cash,Failed,GoPay,4998000.0
PAY-00026,Bank Transfer,Paid,GoPay,60096000.0
PAY-00027,Debit Card,Paid,Erajaya POS,4499000.0
PAY-00028,QRIS,Paid,ShopeePay,60077000.0
PAY-00029,Credit Card,Paid,Erajaya POS,19798000.0
PAY-00030,Debit Card,Paid,ShopeePay,19148150.0
PAY-00031,QRIS,Paid,BNI,13773130.0
PAY-00032,E-Wallet,Paid,BRI,10998000.0
PAY-00033,Debit Card,Paid,Mandiri,52095000.0
PAY-00034,E-Wallet,Paid,OVO,22496000.0
PAY-00035,Credit Card,Paid,BRI,14640700.0
PAY-00036,Credit Card,Paid,GoPay,23999090.0
PAY-00037,E-Wallet,Paid,BCA,19798200.0
PAY-00038,Credit Card,Paid,Visa,17576260.0
PAY-00039,Cash,Paid,Erajaya POS,32421030.0
PAY-00040,Cash,Paid,GoPay,58322230.0
PAY-00041,Credit Card,Paid,Visa,10798000.0
PAY-00042,E-Wallet,Paid,Mastercard,44575120.0
PAY-00043,E-Wallet,Paid,Mandiri,351120.0
PAY-00044,Credit Card,Paid,BNI,11277050.0
PAY-00045,Credit Card,Paid,BNI,14298000.0
PAY-00046,Bank Transfer,Paid,Erajaya POS,21325060.0
PAY-00047,QRIS,Paid,Mandiri,52123480.0
PAY-00048,Credit Card,Paid,BRI,19488030.0
PAY-00049,Bank Transfer,Paid,Erajaya POS,15532150.0
PAY-00050,Credit Card,Paid,ShopeePay,33590170.0
PAY-00051,Credit Card,Paid,BNI,17062100.0
PAY-00052,Credit Card,Failed,BCA,2999000.0
PAY-00053,Credit Card,Paid,ShopeePay,37906130.0
PAY-00054,Credit Card,Paid,Mandiri,11898000.0
PAY-00055,Debit Card,Failed,GoPay,2499000.0
PAY-00056,E-Wallet,Paid,Mastercard,24245100.0
PAY-00057,Debit Card,Paid,ShopeePay,33496000.0
PAY-00058,E-Wallet,Paid,GoPay,17997000.0
PAY-00059,Debit Card,Paid,GoPay,48572180.0
PAY-00060,Credit Card,Paid,BNI,22588900.0
PAY-00061,Debit Card,Paid,Mandiri,9809260.0
PAY-00062,Bank Transfer,Paid,GoPay,8494080.0
PAY-00063,Cash,Paid,ShopeePay,23148050.0
PAY-00064,Debit Card,Paid,BCA,5699050.0
PAY-00065,Debit Card,Paid,Mandiri,12997000.0
PAY-00066,Bank Transfer,Paid,BRI,18295200.0
PAY-00067,Debit Card,Paid,OVO,78923210.0
PAY-00068,Debit Card,Paid,Mandiri,6499000.0
PAY-00069,Bank Transfer,Paid,ShopeePay,21247000.0
PAY-00070,Cash,Paid,OVO,6427120.0
PAY-00071,Credit Card,Refunded,BRI,3299000.0
PAY-00072,E-Wallet,Paid,GoPay,19757030.0
PAY-00073,Debit Card,Paid,BNI,12998000.0
PAY-00074,Credit Card,Paid,Mastercard,20679120.0
PAY-00075,Credit Card,Paid,ShopeePay,28495100.0
PAY-00076,QRIS,Paid,ShopeePay,1899050.0
PAY-00077,Debit Card,Paid,Erajaya POS,16697000.0
PAY-00078,Debit Card,Paid,Mandiri,6534080.0
PAY-00079,Cash,Paid,Erajaya POS,50560820.0
PAY-00080,E-Wallet,Paid,OVO,22157000.0
PAY-00081,E-Wallet,Paid,Erajaya POS,6648000.0
PAY-00082,E-Wallet,Paid,Mandiri,1999000.0
PAY-00083,QRIS,Paid,ShopeePay,16272050.0
PAY-00084,Bank Transfer,Paid,GoPay,41398200.0
PAY-00085,QRIS,Paid,ShopeePay,31998000.0
PAY-00086,QRIS,Paid,Visa,37597060.0
PAY-00087,Debit Card,Paid,Mastercard,67575240.0
PAY-00088,QRIS,Paid,ShopeePay,33195100.0
PAY-00089,Debit Card,Paid,BNI,27996000.0
PAY-00090,E-Wallet,Failed,GoPay,10798050.0
PAY-00091,QRIS,Paid,Mastercard,34792000.0
PAY-00092,QRIS,Paid,Erajaya POS,36496000.0
PAY-00093,QRIS,Pending,BCA,52497000.0
PAY-00094,E-Wallet,Paid,Mastercard,14498050.0
PAY-00095,Bank Transfer,Paid,Erajaya POS,20938800.0
PAY-00096,Bank Transfer,Paid,ShopeePay,24499000.0
PAY-00097,Debit Card,Paid,BNI,7998000.0
PAY-00098,QRIS,Paid,BRI,15478340.0
PAY-00099,QRIS,Paid,Visa,32497000.0
PAY-00100,E-Wallet,Paid,ShopeePay,37650080.0
PAY-00101,E-Wallet,Pending,Erajaya POS,82135060.0
PAY-00102,Credit Card,Paid,Mandiri,35777580.0
PAY-00103,Cash,Pending,GoPay,5498000.0
PAY-00104,QRIS,Paid,ShopeePay,6499000.0
PAY-00105,Cash,Paid,BNI,5224050.0
PAY-00106,Cash,Paid,BNI,38528160.0
PAY-00107,Credit Card,Paid,GoPay,13297000.0
PAY-00108,Cash,Paid,BRI,35897130.0
PAY-00109,Debit Card,Paid,Visa,22361160.0
PAY-00110,QRIS,Paid,BRI,5219100.0
PAY-00111,Debit Card,Paid,ShopeePay,30496000.0
PAY-00112,E-Wallet,Paid,Mandiri,8420120.0
PAY-00113,Cash,Paid,ShopeePay,584100.0
PAY-00114,QRIS,Paid,Erajaya POS,7998000.0
PAY-00115,Bank Transfer,Failed,ShopeePay,11648050.0
PAY-00116,E-Wallet,Refunded,BRI,12499000.0
PAY-00117,Debit Card,Paid,Erajaya POS,81795000.0
PAY-00118,E-Wallet,Paid,BNI,41996000.0
PAY-00119,Credit Card,Paid,Erajaya POS,7999000.0
PAY-00120,QRIS,Paid,BCA,48037160.0
PAY-00121,Credit Card,Paid,Erajaya POS,17863030.0
PAY-00122,Debit Card,Paid,Erajaya POS,20999000.0
PAY-00123,QRIS,Refunded,OVO,42256060.0
PAY-00124,E-Wallet,Paid,Mandiri,27174380.0
PAY-00125,Credit Card,Paid,Visa,26510400.0
PAY-00126,E-Wallet,Paid,BCA,7499000.0
PAY-00127,E-Wallet,Paid,OVO,30443030.0
PAY-00128,Cash,Paid,OVO,32648100.0
PAY-00129,Cash,Paid,BNI,37580240.0
PAY-00130,QRIS,Paid,BNI,32291030.0
PAY-00131,Credit Card,Paid,BNI,18279450.0
PAY-00132,E-Wallet,Paid,Mandiri,7498000.0
PAY-00133,Credit Card,Paid,Mastercard,25797000.0
PAY-00134,Credit Card,Paid,Visa,43997000.0
PAY-00135,Debit Card,Paid,BCA,20531240.0
PAY-00136,E-Wallet,Paid,BCA,3079000.0
PAY-00137,Credit Card,Paid,Erajaya POS,2298160.0
PAY-00138,Bank Transfer,Pending,OVO,25502130.0
PAY-00139,Bank Transfer,Paid,Erajaya POS,9477050.0
PAY-00140,Bank Transfer,Paid,GoPay,59746100.0
PAY-00141,Debit Card,Paid,OVO,18998000.0
PAY-00142,Cash,Paid,BRI,13884580.0
PAY-00143,Credit Card,Paid,Erajaya POS,19597000.0
PAY-00144,Cash,Paid,Erajaya POS,18386100.0
PAY-00145,Cash,Paid,OVO,7583050.0
PAY-00146,Debit Card,Paid,BNI,20999000.0
PAY-00147,E-Wallet,Failed,BRI,32197000.0
PAY-00148,QRIS,Paid,Mandiri,27451180.0
PAY-00149,Credit Card,Paid,Erajaya POS,10298000.0
PAY-00150,Debit Card,Paid,Mandiri,18298000.0
PAY-00151,Debit Card,Paid,BCA,17022050.0
PAY-00152,Bank Transfer,Paid,BNI,10978080.0
PAY-00153,Bank Transfer,Paid,GoPay,24996000.0
PAY-00154,Bank Transfer,Paid,BCA,6998000.0
PAY-00155,QRIS,Paid,BRI,21698000.0
PAY-00156,Bank Transfer,Paid,GoPay,80366030.0
PAY-00157,Credit Card,Paid,BRI,53935080.0
PAY-00158,Bank Transfer,Paid,ShopeePay,29218080.0
PAY-00159,QRIS,Paid,BRI,21045150.0
PAY-00160,E-Wallet,Paid,OVO,13797000.0
PAY-00161,Credit Card,Paid,BNI,22797000.0
PAY-00162,Cash,Paid,Mandiri,8008050.0
PAY-00163,QRIS,Paid,Visa,33847150.0
PAY-00164,QRIS,Paid,Visa,21498000.0
PAY-00165,Credit Card,Paid,BNI,7898000.0
PAY-00166,Cash,Paid,Mandiri,14998000.0
PAY-00167,Cash,Paid,ShopeePay,6164360.0
PAY-00168,QRIS,Paid,Mandiri,48496150.0
PAY-00169,Credit Card,Paid,ShopeePay,17997000.0
PAY-00170,Debit Card,Paid,Erajaya POS,23598120.0
