detail_id,transaction_id,product_id,promotion_id,quantity,unit_price,discount_amount
DTL-000001,TRX-00001,PROD-0066,PROMO-016,1,5499000,274950.0
DTL-000002,TRX-00001,PROD-0036,PROMO-012,1,3999000,399900.0
DTL-000003,TRX-00001,PROD-0098,PROMO-NONE,1,1695000,0.0
DTL-000004,TRX-00002,PROD-0093,PROMO-NONE,1,699000,0.0
DTL-000005,TRX-00002,PROD-0042,PROMO-003,1,3499000,279920.0
DTL-000006,TRX-00002,PROD-0099,PROMO-NONE,1,3079000,0.0
DTL-000007,TRX-00003,PROD-0013,PROMO-NONE,2,6499000,0.0
DTL-000008,TRX-00003,PROD-0032,PROMO-NONE,1,28499000,0.0
DTL-000009,TRX-00004,PROD-0041,PROMO-008,1,6499000,324950.0
DTL-000010,TRX-00004,PROD-0037,PROMO-018,1,2999000,449850.0
DTL-000011,TRX-00004,PROD-0045,PROMO-NONE,2,3999000,0.0
DTL-000012,TRX-00005,PROD-0044,PROMO-005,2,4499000,719840.0
DTL-000013,TRX-00005,PROD-0077,PROMO-013,2,1999000,399800.0
DTL-000014,TRX-00006,PROD-0072,PROMO-NONE,1,6999000,0.0
DTL-000015,TRX-00006,PROD-0019,PROMO-005,2,14999000,2399840.0
DTL-000016,TRX-00006,PROD-0040,PROMO-NONE,2,15999000,0.0
DTL-000017,TRX-00007,PROD-0092,PROMO-NONE,1,649000,0.0
DTL-000018,TRX-00008,PROD-0001,PROMO-NONE,1,20499000,0.0
DTL-000019,TRX-00008,PROD-0022,PROMO-010,1,499000,24950.0
DTL-000020,TRX-00009,PROD-0057,PROMO-NONE,2,5999000,0.0
DTL-000021,TRX-00009,PROD-0098,PROMO-004,2,1695000,406800.0
DTL-000022,TRX-00009,PROD-0002,PROMO-NONE,1,23499000,0.0
DTL-000023,TRX-00009,PROD-0036,PROMO-018,1,3999000,599850.0
DTL-000024,TRX-00010,PROD-0062,PROMO-NONE,1,5999000,0.0
DTL-000025,TRX-00010,PROD-0036,PROMO-NONE,1,3999000,0.0
DTL-000026,TRX-00011,PROD-0044,PROMO-NONE,3,4499000,0.0
DTL-000027,TRX-00011,PROD-0048,PROMO-016,1,16999000,849950.0
DTL-000028,TRX-00012,PROD-0032,PROMO-NONE,1,28499000,0.0
DTL-000029,TRX-00012,PROD-0021,PROMO-003,2,2499000,399840.0
DTL-000030,TRX-00013,PROD-0056,PROMO-NONE,1,5799000,0.0
DTL-000031,TRX-00013,PROD-0048,PROMO-NONE,1,16999000,0.0
DTL-000032,TRX-00014,PROD-0070,PROMO-NONE,2,6499000,0.0
DTL-000033,TRX-00014,PROD-0017,PROMO-NONE,2,22999000,0.0
DTL-000034,TRX-00015,PROD-0067,PROMO-010,1,3999000,199950.0
DTL-000035,TRX-00016,PROD-0008,PROMO-002,2,10999000,1759840.0
DTL-000036,TRX-00016,PROD-0098,PROMO-NONE,1,1695000,0.0
DTL-000037,TRX-00016,PROD-0099,PROMO-NONE,1,3079000,0.0
DTL-000038,TRX-00017,PROD-0053,PROMO-NONE,1,5099000,0.0
DTL-000039,TRX-00017,PROD-0054,PROMO-NONE,1,4499000,0.0
DTL-000040,TRX-00017,PROD-0051,PROMO-004,1,6499000,779880.0
DTL-000041,TRX-00017,PROD-0014,PROMO-009,1,9499000,284970.0
DTL-000042,TRX-00018,PROD-0036,PROMO-011,1,3999000,319920.0
DTL-000043,TRX-00018,PROD-0005,PROMO-NONE,1,13999000,0.0
DTL-000044,TRX-00019,PROD-0040,PROMO-004,1,15999000,1919880.0
DTL-000045,TRX-00019,PROD-0062,PROMO-NONE,1,5999000,0.0
DTL-000046,TRX-00020,PROD-0098,PROMO-NONE,1,1695000,0.0
DTL-000047,TRX-00020,PROD-0090,PROMO-004,2,699000,167760.0
DTL-000048,TRX-00020,PROD-0008,PROMO-NONE,1,10999000,0.0
DTL-000049,TRX-00021,PROD-0081,PROMO-NONE,1,7999000,0.0
DTL-000050,TRX-00021,PROD-0008,PROMO-017,1,10999000,1319880.0
DTL-000051,TRX-00021,PROD-0006,PROMO-005,3,12499000,2999760.0
DTL-000052,TRX-00022,PROD-0020,PROMO-NONE,1,3999000,0.0
DTL-000053,TRX-00022,PROD-0024,PROMO-NONE,2,399000,0.0
DTL-000054,TRX-00023,PROD-0092,PROMO-011,1,649000,51920.0
DTL-000055,TRX-00023,PROD-0084,PROMO-NONE,1,1399000,0.0
DTL-000056,TRX-00023,PROD-0020,PROMO-003,1,3999000,319920.0
DTL-000057,TRX-00024,PROD-0089,PROMO-NONE,1,779000,0.0
DTL-000058,TRX-00024,PROD-0004,PROMO-NONE,1,16999000,0.0
DTL-000059,TRX-00025,PROD-0073,PROMO-NONE,1,4299000,0.0
DTL-000060,TRX-00025,PROD-0093,PROMO-NONE,1,699000,0.0
DTL-000061,TRX-00026,PROD-0013,PROMO-NONE,1,6499000,0.0
DTL-000062,TRX-00026,PROD-0006,PROMO-NONE,1,12499000,0.0
DTL-000063,TRX-00026,PROD-0032,PROMO-NONE,1,28499000,0.0
DTL-000064,TRX-00026,PROD-0010,PROMO-NONE,1,12599000,0.0
DTL-000065,TRX-00027,PROD-0054,PROMO-NONE,1,4499000,0.0
DTL-000066,TRX-00028,PROD-0099,PROMO-NONE,1,3079000,0.0
DTL-000067,TRX-00028,PROD-0032,PROMO-NONE,2,28499000,0.0
DTL-000068,TRX-00029,PROD-0029,PROMO-NONE,1,17499000,0.0
DTL-000069,TRX-00029,PROD-0059,PROMO-NONE,1,2299000,0.0
DTL-000070,TRX-00030,PROD-0046,PROMO-NONE,1,2999000,0.0
DTL-000071,TRX-00030,PROD-0079,PROMO-018,1,18999000,2849850.0
DTL-000072,TRX-00031,PROD-0077,PROMO-NONE,1,1999000,0.0
DTL-000073,TRX-00031,PROD-0075,PROMO-NONE,1,4699000,0.0
DTL-000074,TRX-00031,PROD-0052,PROMO-009,1,2099000,62970.0
DTL-000075,TRX-00031,PROD-0061,PROMO-012,1,5599000,559900.0
DTL-000076,TRX-00032,PROD-0054,PROMO-NONE,1,4499000,0.0
DTL-000077,TRX-00032,PROD-0051,PROMO-NONE,1,6499000,0.0
DTL-000078,TRX-00033,PROD-0014,PROMO-NONE,1,9499000,0.0
DTL-000079,TRX-00033,PROD-0015,PROMO-NONE,3,13599000,0.0
DTL-000080,TRX-00033,PROD-0100,PROMO-NONE,1,1799000,0.0
DTL-000081,TRX-00034,PROD-0073,PROMO-NONE,1,4299000,0.0
DTL-000082,TRX-00034,PROD-0038,PROMO-NONE,2,1599000,0.0
DTL-000083,TRX-00034,PROD-0019,PROMO-NONE,1,14999000,0.0
DTL-000084,TRX-00035,PROD-0027,PROMO-018,1,16499000,2474850.0
DTL-000085,TRX-00035,PROD-0092,PROMO-019,1,649000,32450.0
DTL-000086,TRX-00036,PROD-0023,PROMO-NONE,1,499000,0.0
DTL-000087,TRX-00036,PROD-0066,PROMO-001,3,5499000,494910.0
DTL-000088,TRX-00036,PROD-0044,PROMO-NONE,1,4499000,0.0
DTL-000089,TRX-00036,PROD-0037,PROMO-NONE,1,2999000,0.0
DTL-000090,TRX-00037,PROD-0008,PROMO-012,2,10999000,2199800.0
DTL-000091,TRX-00038,PROD-0052,PROMO-NONE,1,2099000,0.0
DTL-000092,TRX-00038,PROD-0081,PROMO-007,1,7999000,799900.0
DTL-000093,TRX-00038,PROD-0044,PROMO-003,2,4499000,719840.0
DTL-000094,TRX-00039,PROD-0018,PROMO-NONE,2,7999000,0.0
DTL-000095,TRX-00039,PROD-0073,PROMO-NONE,1,4299000,0.0
DTL-000096,TRX-00039,PROD-0047,PROMO-009,1,12499000,374970.0
DTL-000097,TRX-00040,PROD-0003,PROMO-NONE,1,18499000,0.0
DTL-000098,TRX-00040,PROD-0056,PROMO-009,1,5799000,173970.0
DTL-000099,TRX-00040,PROD-0079,PROMO-007,2,18999000,3799800.0
DTL-000100,TRX-00041,PROD-0065,PROMO-NONE,1,6299000,0.0
DTL-000101,TRX-00041,PROD-0044,PROMO-NONE,1,4499000,0.0
DTL-000102,TRX-00042,PROD-0033,PROMO-004,1,15999000,1919880.0
DTL-000103,TRX-00042,PROD-0040,PROMO-NONE,1,15999000,0.0
DTL-000104,TRX-00042,PROD-0053,PROMO-NONE,2,5099000,0.0
DTL-000105,TRX-00042,PROD-0073,PROMO-NONE,1,4299000,0.0
DTL-000106,TRX-00043,PROD-0095,PROMO-017,1,399000,47880.0
DTL-000107,TRX-00044,PROD-0084,PROMO-NONE,1,1399000,0.0
DTL-000108,TRX-00044,PROD-0014,PROMO-NONE,1,9499000,0.0
DTL-000109,TRX-00044,PROD-0024,PROMO-019,1,399000,19950.0
DTL-000110,TRX-00045,PROD-0008,PROMO-NONE,1,10999000,0.0
DTL-000111,TRX-00045,PROD-0055,PROMO-NONE,1,3299000,0.0
DTL-000112,TRX-00046,PROD-0079,PROMO-NONE,1,18999000,0.0
DTL-000113,TRX-00046,PROD-0086,PROMO-014,2,1199000,71940.0
DTL-000114,TRX-00047,PROD-0017,PROMO-NONE,1,22999000,0.0
DTL-000115,TRX-00047,PROD-0051,PROMO-017,3,6499000,2339640.0
DTL-000116,TRX-00047,PROD-0015,PROMO-017,1,13599000,1631880.0
DTL-000117,TRX-00048,PROD-0094,PROMO-NONE,1,2999000,0.0
DTL-000118,TRX-00048,PROD-0048,PROMO-014,1,16999000,509970.0
DTL-000119,TRX-00049,PROD-0006,PROMO-019,1,12499000,624950.0
DTL-000120,TRX-00049,PROD-0055,PROMO-NONE,1,3299000,0.0
DTL-000121,TRX-00049,PROD-0024,PROMO-012,1,399000,39900.0
DTL-000122,TRX-00050,PROD-0005,PROMO-009,1,13999000,419970.0
DTL-000123,TRX-00050,PROD-0080,PROMO-011,1,10999000,879920.0
DTL-000124,TRX-00050,PROD-0053,PROMO-009,2,5099000,305940.0
DTL-000125,TRX-00051,PROD-0058,PROMO-008,2,4999000,499900.0
DTL-000126,TRX-00051,PROD-0097,PROMO-NONE,1,1565000,0.0
DTL-000127,TRX-00051,PROD-0034,PROMO-NONE,1,5999000,0.0
DTL-000128,TRX-00052,PROD-0046,PROMO-NONE,1,2999000,0.0
DTL-000129,TRX-00053,PROD-0048,PROMO-020,1,16999000,849950.0
DTL-000130,TRX-00053,PROD-0057,PROMO-NONE,1,5999000,0.0
DTL-000131,TRX-00053,PROD-0046,PROMO-015,1,2999000,239920.0
DTL-000132,TRX-00053,PROD-0009,PROMO-NONE,1,12999000,0.0
DTL-000133,TRX-00054,PROD-0095,PROMO-NONE,1,399000,0.0
DTL-000134,TRX-00054,PROD-0012,PROMO-NONE,1,11499000,0.0
DTL-000135,TRX-00055,PROD-0021,PROMO-NONE,1,2499000,0.0
DTL-000136,TRX-00056,PROD-0015,PROMO-NONE,1,13599000,0.0
DTL-000137,TRX-00056,PROD-0013,PROMO-013,1,6499000,649900.0
DTL-000138,TRX-00056,PROD-0096,PROMO-NONE,3,1599000,0.0
DTL-000139,TRX-00057,PROD-0007,PROMO-NONE,1,9999000,0.0
DTL-000140,TRX-00057,PROD-0066,PROMO-NONE,2,5499000,0.0
DTL-000141,TRX-00057,PROD-0047,PROMO-NONE,1,12499000,0.0
DTL-000142,TRX-00058,PROD-0085,PROMO-NONE,1,399000,0.0
DTL-000143,TRX-00058,PROD-0053,PROMO-NONE,1,5099000,0.0
DTL-000144,TRX-00058,PROD-0047,PROMO-NONE,1,12499000,0.0
DTL-000145,TRX-00059,PROD-0096,PROMO-014,1,1599000,47970.0
DTL-000146,TRX-00059,PROD-0001,PROMO-018,1,20499000,3074850.0
DTL-000147,TRX-00059,PROD-0005,PROMO-NONE,2,13999000,0.0
DTL-000148,TRX-00059,PROD-0038,PROMO-NONE,1,1599000,0.0
DTL-000149,TRX-00060,PROD-0002,PROMO-007,1,23499000,2349900.0
DTL-000150,TRX-00060,PROD-0097,PROMO-005,1,1565000,125200.0
DTL-000151,TRX-00061,PROD-0074,PROMO-NONE,1,5999000,0.0
DTL-000152,TRX-00061,PROD-0089,PROMO-001,2,779000,46740.0
DTL-000153,TRX-00061,PROD-0059,PROMO-NONE,1,2299000,0.0
DTL-000154,TRX-00062,PROD-0093,PROMO-NONE,2,699000,0.0
DTL-000155,TRX-00062,PROD-0051,PROMO-NONE,1,6499000,0.0
DTL-000156,TRX-00062,PROD-0092,PROMO-002,1,649000,51920.0
DTL-000157,TRX-00063,PROD-0049,PROMO-020,1,6999000,349950.0
DTL-000158,TRX-00063,PROD-0027,PROMO-NONE,1,16499000,0.0
DTL-000159,TRX-00064,PROD-0062,PROMO-016,1,5999000,299950.0
DTL-000160,TRX-00065,PROD-0045,PROMO-NONE,2,3999000,0.0
DTL-000161,TRX-00065,PROD-0071,PROMO-NONE,1,4999000,0.0
DTL-000162,TRX-00066,PROD-0053,PROMO-NONE,1,5099000,0.0
DTL-000163,TRX-00066,PROD-0071,PROMO-NONE,1,4999000,0.0
DTL-000164,TRX-00066,PROD-0088,PROMO-NONE,1,2799000,0.0
DTL-000165,TRX-00066,PROD-0037,PROMO-012,2,2999000,599800.0
