transaction_id,transaction_date,customer_id,store_id,channel_id,channel_name,channel_type,payment_id,salesperson_id
TRX-00001,2024-01-01 14:04:00,CUST-0054,STORE-005,CH_OFF,Offline Store,Offline,PAY-00001,EMP-066
TRX-00002,2024-03-21 18:53:00,CUST-0171,STORE-021,CH_OFF,Offline Store,Offline,PAY-00002,EMP-036
TRX-00003,2024-12-20 20:27:00,CUST-0574,STORE-007,CH_MKT,Marketplace,Online,PAY-00003,
TRX-00004,2025-01-12 13:32:00,CUST-0622,STORE-009,CH_OFF,Offline Store,Offline,PAY-00004,EMP-005
TRX-00005,2025-04-29 20:55:00,CUST-0559,STORE-004,CH_OFF,Offline Store,Offline,PAY-00005,EMP-005
TRX-00006,2024-03-04 14:06:00,CUST-0285,STORE-007,CH_WEB,Online Web,Online,PAY-00006,
TRX-00007,2024-03-03 10:12:00,CUST-0514,STORE-005,CH_OFF,Offline Store,Offline,PAY-00007,EMP-035
TRX-00008,2024-12-25 10:21:00,CUST-0857,STORE-023,CH_OFF,Offline Store,Offline,PAY-00008,EMP-012
TRX-00009,2024-08-10 19:23:00,CUST-0899,STORE-024,CH_WEB,Online Web,Online,PAY-00009,
TRX-00010,2024-07-23 11:18:00,CUST-0451,STORE-009,CH_OFF,Offline Store,Offline,PAY-00010,EMP-012
TRX-00011,2024-08-03 20:27:00,CUST-0831,STORE-022,CH_OFF,Offline Store,Offline,PAY-00011,EMP-037
TRX-00012,2024-04-28 17:42:00,CUST-0487,STORE-005,CH_OFF,Offline Store,Offline,PAY-00012,EMP-060
TRX-00013,2025-05-01 14:21:00,CUST-0103,STORE-006,CH_OFF,Offline Store,Offline,PAY-00013,EMP-046
TRX-00014,2024-09-06 13:46:00,CUST-0346,STORE-016,CH_OFF,Offline Store,Offline,PAY-00014,EMP-052
TRX-00015,2024-01-30 11:32:00,CUST-0308,STORE-020,CH_OFF,Offline Store,Offline,PAY-00015,EMP-068
TRX-00016,2024-05-24 21:22:00,CUST-0170,STORE-015,CH_OFF,Offline Store,Offline,PAY-00016,EMP-001
TRX-00017,2024-06-12 14:06:00,CUST-0704,STORE-013,CH_OFF,Offline Store,Offline,PAY-00017,EMP-028
TRX-00018,2024-03-14 14:31:00,CUST-0994,STORE-019,CH_OFF,Offline Store,Offline,PAY-00018,EMP-004
TRX-00019,2024-05-21 16:12:00,,STORE-010,CH_WEB,Online Web,Online,PAY-00019,
TRX-00020,2025-02-11 19:33:00,CUST-0477,STORE-003,CH_OFF,Offline Store,Offline,PAY-00020,EMP-045
TRX-00021,2024-02-25 13:27:00,CUST-0650,STORE-004,CH_OFF,Offline Store,Offline,PAY-00021,EMP-078
TRX-00022,2024-03-22 11:00:00,CUST-0957,STORE-023,CH_MKT,Marketplace,Online,PAY-00022,
TRX-00023,2024-02-21 18:43:00,CUST-0436,STORE-011,CH_OFF,Offline Store,Offline,PAY-00023,EMP-038
TRX-00024,2024-03-27 17:06:00,CUST-0149,STORE-021,CH_OFF,Offline Store,Offline,PAY-00024,EMP-064
TRX-00025,2024-02-11 10:20:00,CUST-0151,STORE-020,CH_OFF,Offline Store,Offline,PAY-00025,EMP-013
TRX-00026,2024-03-22 15:07:00,CUST-0585,STORE-009,CH_WEB,Online Web,Online,PAY-00026,
TRX-00027,2024-02-16 18:25:00,CUST-0695,STORE-010,CH_OFF,Offline Store,Offline,PAY-00027,EMP-035
TRX-00028,2024-11-21 10:14:00,CUST-0727,STORE-011,CH_WEB,Online Web,Online,PAY-00028,
TRX-00029,2024-01-13 14:21:00,CUST-0843,STORE-015,CH_OFF,Offline Store,Offline,PAY-00029,EMP-020
