year,month,total_sales,total_profit,total_quantity,total_transactions
2024,1,3032630750.0,784914750.0,400,122
2024,2,2469692710.0,643284710.0,315,105
2024,3,2894631530.0,750390530.0,365,127
2024,4,2444189670.0,642686670.0,282,97
2024,5,2724489680.0,709405680.0,329,109
2024,6,2447880500.0,649105500.0,334,111
2024,7,2494141430.0,657708430.0,325,110
2024,8,2321831000.0,606869000.0,302,104
2024,9,2885153450.0,760502450.0,349,116
2024,10,3222526130.0,844180130.0,414,141
2024,11,2678997550.0,705569550.0,336,120
2024,12,3175913350.0,842920350.0,387,137
2025,1,2740224340.0,720347340.0,372,128
2025,2,2770885420.0,730556420.0,350,120
2025,3,2904101620.0,764373620.0,376,119
2025,4,2756531160.0,732758160.0,365,127
2025,5,2412426090.0,625254090.0,323,107
