province,city,total_sales,total_profit,total_transactions
Jawa Timur,Malang,10457313700.0,2743979700.0,413
Sumatera Utara,Medan,5124946900.0,1353388900.0,233
Jawa Barat,Bogor,4922106890.0,1282284890.0,210
DKI Jakarta,Jakarta Barat,3955209210.0,1045961210.0,172
Banten,Tangerang Selatan,3949753640.0,1026073640.0,176
Jawa Barat,Bandung,3782190460.0,987263460.0,150
Bali,Denpasar,3632866770.0,958559770.0,167
Banten,Tangerang,2121775460.0,560610460.0,93
Sumatera Utara,Deli Serdang,1805728520.0,475975520.0,82
DKI Jakarta,Jakarta Utara,1778562510.0,472675510.0,85
DKI Jakarta,Jakarta Selatan,1769762310.0,464552310.0,80
Bali,Badung,1538831130.0,403112130.0,74
Jawa Barat,Bekasi,1537198880.0,396389880.0,65
