check_name,failed_records,severity,status,checked_at
Duplicate transaction_id,0,critical,PASS,2026-05-30T21:20:39
Duplicate detail_id,0,critical,PASS,2026-05-30T21:20:39
Quantity must be > 0,0,critical,PASS,2026-05-30T21:20:39
Unit price must be non-negative,0,critical,PASS,2026-05-30T21:20:39
Gross sales equals quantity * unit_price,0,critical,PASS,2026-05-30T21:20:39
Net sales must be non-negative,0,critical,PASS,2026-05-30T21:20:39
Product maps to dim_product,0,critical,PASS,2026-05-30T21:20:39
Missing customer handled as Guest Customer,0,major,PASS,2026-05-30T21:20:39
Stock quantity must be non-negative,0,critical,PASS,2026-05-30T21:20:39
Source net sales equals fact_sales net sales,0,critical,PASS,2026-05-30T21:20:39
Payment status must be valid,0,major,PASS,2026-05-30T21:20:39
